date,year,month,open,high,low,close,volume,id
24-11-2004 0:00,2004,11,30.84,506.5,30.78,32.02,49705294,2325
23-11-2004 0:00,2004,11,31.14,506.5,30.52,30.64,32556352,2326
22-11-2004 0:00,2004,11,29.01,506.5,28.95,30.68,91817844,2327
19-11-2004 0:00,2004,11,27.74,506.5,27.25,27.58,27349882,2328
18-11-2004 0:00,2004,11,27.15,506.5,27.14,27.7,16455758,2329
17-11-2004 0:00,2004,11,27.6,506.5,27.11,27.45,14241608,2330
16-11-2004 0:00,2004,11,27.58,506.5,27.24,27.47,10543564,2331
15-11-2004 0:00,2004,11,27.54,506.5,27.17,27.62,13436852,2332
12-11-2004 0:00,2004,11,27.5,506.5,27.42,27.75,14137126,2333
11-11-2004 0:00,2004,11,27.48,506.5,27.12,27.65,14596054,2334
10-11-2004 0:00,2004,11,26.98,506.5,26.96,27.38,18181790,2335
09-11-2004 0:00,2004,11,27.1,506.5,26.69,27.02,17021126,2336
08-11-2004 0:00,2004,11,27.14,506.5,26.93,27.19,18829446,2337
05-11-2004 0:00,2004,11,27.45,506.5,26.02,27.36,43049396,2338
04-11-2004 0:00,2004,11,27.52,506.5,27.18,27.22,33182596,2339
03-11-2004 0:00,2004,11,27.22,506.5,27,27.66,43009530,2340
02-11-2004 0:00,2004,11,26.22,506.5,26.2,26.75,26078918,2341
01-11-2004 0:00,2004,11,26.25,506.5,26.02,26.22,21537560,2342
29-10-2004 0:00,2004,10,25.98,506.5,25.9,26.2,28952866,2343
28-10-2004 0:00,2004,10,24.99,506.5,24.75,26.1,30868472,2344
27-10-2004 0:00,2004,10,24.33,506.5,24.08,25.15,42700656,2345
26-10-2004 0:00,2004,10,23.72,506.5,23.48,23.98,21236444,2346
25-10-2004 0:00,2004,10,23.6,506.5,23.54,23.78,14023332,2347
22-10-2004 0:00,2004,10,23.7,506.5,23.51,23.7,17297726,2348
21-10-2004 0:00,2004,10,23.82,506.5,23.68,23.97,25904196,2349
20-10-2004 0:00,2004,10,23.55,506.5,23.32,23.74,22000764,2350
19-10-2004 0:00,2004,10,24.05,506.5,23.66,23.71,28681888,2351
18-10-2004 0:00,2004,10,22.4,506.5,22.35,23.88,42973304,2352
15-10-2004 0:00,2004,10,22.44,506.5,22.1,22.75,36715394,2353
14-10-2004 0:00,2004,10,21.52,506.5,21.28,22.49,98903184,2354
13-10-2004 0:00,2004,10,19.41,506.5,19.37,19.88,42866746,2355
12-10-2004 0:00,2004,10,19.25,506.5,18.82,19.14,16451910,2356
11-10-2004 0:00,2004,10,19.4,506.5,19.1,19.3,11568062,2357
08-10-2004 0:00,2004,10,19.78,506.5,19.42,19.53,12833014,2358
07-10-2004 0:00,2004,10,20.27,506.5,19.73,19.81,15239848,2359
06-10-2004 0:00,2004,10,19.75,506.5,19.74,20.32,15945534,2360
05-10-2004 0:00,2004,10,19.28,506.5,19.2,19.68,14515882,2361
04-10-2004 0:00,2004,10,19.59,506.5,19.38,19.4,20519682,2362
01-10-2004 0:00,2004,10,19.56,506.5,19.29,19.34,16629334,2363
30-09-2004 0:00,2004,9,19.5,506.5,19.22,19.38,15181872,2364
29-09-2004 0:00,2004,9,18.96,506.5,18.91,19.34,9769154,2365
28-09-2004 0:00,2004,9,18.75,506.5,18.72,19.02,12613740,2366
27-09-2004 0:00,2004,9,18.48,506.5,18.42,18.76,14203444,2367
24-09-2004 0:00,2004,9,18.7,506.5,18.58,18.64,13195950,2368
23-09-2004 0:00,2004,9,18.52,506.5,18.46,18.64,14195842,2369
22-09-2004 0:00,2004,9,19.05,506.5,18.4,18.46,14349454,2370
21-09-2004 0:00,2004,9,18.85,506.5,18.73,19,13813086,2371
20-09-2004 0:00,2004,9,18.45,506.5,18.44,18.86,8752024,2372
17-09-2004 0:00,2004,9,18.28,506.5,18.2,18.57,18338958,2373
16-09-2004 0:00,2004,9,17.6,506.5,17.54,18.18,17926016,2374
15-09-2004 0:00,2004,9,17.6,506.5,17.4,17.6,8330180,2375
14-09-2004 0:00,2004,9,17.65,506.5,17.39,17.74,9207478,2376
13-09-2004 0:00,2004,9,17.93,506.5,17.66,17.8,10072802,2377
10-09-2004 0:00,2004,9,17.84,506.5,17.73,17.94,11714626,2378
09-09-2004 0:00,2004,9,18.05,506.5,17.64,17.85,16480436,2379
08-09-2004 0:00,2004,9,17.85,506.5,17.84,18.18,12287188,2380
07-09-2004 0:00,2004,9,17.7,506.5,17.62,17.88,10784728,2381
03-09-2004 0:00,2004,9,17.52,506.5,17.5,17.62,10482002,2382
02-09-2004 0:00,2004,9,17.75,506.5,17.42,17.83,14515102,2383
01-09-2004 0:00,2004,9,17.15,506.5,17.1,17.93,18428772,2384
31-08-2004 0:00,2004,8,17.04,506.5,17,17.24,13519902,2385
30-08-2004 0:00,2004,8,17.01,506.5,16.98,17.06,7791136,2386
27-08-2004 0:00,2004,8,17.3,506.5,17,17.18,13889554,2387
26-08-2004 0:00,2004,8,16.58,506.5,16.37,17.33,34146698,2388
25-08-2004 0:00,2004,8,15.96,506.5,15.86,16.52,18065086,2389
24-08-2004 0:00,2004,8,15.63,506.5,15.6,15.98,13361844,2390
23-08-2004 0:00,2004,8,15.43,506.5,15.3,15.54,9094834,2391
20-08-2004 0:00,2004,8,15.38,506.5,15.24,15.4,11313414,2392
19-08-2004 0:00,2004,8,15.76,506.5,15.18,15.36,13891082,2393
18-08-2004 0:00,2004,8,15.26,506.5,15.24,15.87,13023460,2394
17-08-2004 0:00,2004,8,15.3,506.5,15.18,15.44,11536736,2395
16-08-2004 0:00,2004,8,15.44,506.5,15.32,15.39,15563168,2396
13-08-2004 0:00,2004,8,15.33,506.5,15.2,15.42,11715866,2397
12-08-2004 0:00,2004,8,15.28,506.5,15.14,15.18,8079370,2398
11-08-2004 0:00,2004,8,15.55,506.5,15.13,15.5,11515072,2399
10-08-2004 0:00,2004,8,15.2,506.5,15.18,15.76,12545800,2400
09-08-2004 0:00,2004,8,14.92,506.5,14.9,15.15,10387372,2401
06-08-2004 0:00,2004,8,15.45,506.5,14.85,14.89,17584928,2402
05-08-2004 0:00,2004,8,15.88,506.5,15.62,15.7,8732644,2403
04-08-2004 0:00,2004,8,15.6,506.5,15.58,15.9,9879182,2404
